                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6922,                 3.9973,                 1.8697,                0.49261,                 0.3932,                0.43696,                0.24644,                 1.3338,                 4.9769,                 1.6459,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.1716,                 1.7173,                 1.3738,                0.72625,                 0.5857,                0.68864,                0.42897,                 1.2715,                 2.2434,                 1.5192,             0.00022809,             0.00022809,             0.00022809
                      3,                 1.1285,                 1.3201,                 1.3229,                0.72541,                0.73791,                0.79709,                0.51357,                 1.2614,                 2.0662,                 1.4918,             0.00033379,             0.00033379,             0.00033379
                      4,                 1.0543,                 1.1172,                  1.307,                0.73231,                0.77285,                0.78824,                0.48387,                  1.282,                 1.6765,                 1.5374,             0.00042959,             0.00042959,             0.00042959
                      5,                 1.0249,                0.95501,                 1.2452,                0.72592,                0.73006,                0.78629,                0.47808,                 1.2917,                 2.1481,                 1.5123,             0.00051548,             0.00051548,             0.00051548
                      6,                0.99913,                0.92302,                 1.2226,                0.71603,                0.69389,                0.72607,                0.43368,                 1.4297,                 1.7835,                  1.695,             0.00059148,             0.00059148,             0.00059148
                      7,                 1.0001,                 0.9087,                 1.2188,                0.78202,                0.71067,                 0.7604,                0.43532,                 1.4755,                 1.5523,                 1.7074,             0.00065757,             0.00065757,             0.00065757
                      8,                 1.0071,                0.88692,                 1.1928,                0.87476,                0.74023,                0.84888,                0.55513,                 1.2655,                 1.0779,                 1.4933,             0.00071377,             0.00071377,             0.00071377
                      9,                0.97134,                 0.9259,                 1.2373,                0.71692,                0.66863,                0.71181,                0.40803,                 1.4027,                 1.3386,                 1.5158,             0.00076006,             0.00076006,             0.00076006
                     10,                   1.05,                0.89767,                 1.3217,                0.86607,                0.70546,                0.80562,                0.53338,                 1.2747,                 1.0689,                 1.4607,             0.00079646,             0.00079646,             0.00079646
                     11,                0.91137,                0.74312,                 1.1624,                0.80279,                0.71498,                0.76147,                0.47691,                 1.3172,                 1.1609,                 1.4772,               0.000755,               0.000755,               0.000755
                     12,                0.96419,                0.78102,                 1.1922,                0.82859,                0.78033,                 0.8371,                0.53282,                 1.2548,                0.97477,                 1.4788,               0.000755,               0.000755,               0.000755
                     13,                0.99054,                0.79706,                 1.2372,                 0.8314,                0.82098,                0.86764,                0.59411,                 1.1824,                0.95472,                 1.4549,              0.0007055,              0.0007055,              0.0007055
                     14,                0.91933,                0.72425,                 1.1815,                0.88875,                0.74911,                0.87312,                0.58363,                 1.2692,                0.89506,                  1.499,               0.000656,               0.000656,               0.000656
                     15,                0.90063,                0.69222,                 1.1448,                0.91676,                0.71552,                0.86548,                0.56807,                 1.2545,                0.91691,                 1.4819,              0.0006065,              0.0006065,              0.0006065
                     16,                0.92875,                0.71628,                 1.2076,                 0.8214,                0.74755,                 0.8066,                0.52671,                 1.2589,                 1.0096,                  1.474,               0.000557,               0.000557,               0.000557
                     17,                0.84071,                0.64371,                 1.1289,                0.87724,                0.77668,                 0.8547,                0.57598,                 1.1936,                0.98406,                 1.4464,              0.0005075,              0.0005075,              0.0005075
                     18,                0.87971,                0.65424,                 1.2195,                0.84459,                0.81293,                 0.8758,                0.58929,                 1.1512,                 0.8436,                 1.4228,               0.000458,               0.000458,               0.000458
                     19,                 0.8089,                   0.57,                  1.121,                 0.8855,                0.79564,                0.87725,                0.60511,                 1.1576,                0.82564,                  1.427,              0.0004085,              0.0004085,              0.0004085
                     20,                0.74531,                0.53727,                 1.1333,                0.95502,                0.76566,                0.88081,                0.61047,                 1.1423,                0.78298,                 1.4086,               0.000359,               0.000359,               0.000359
                     21,                0.93378,                0.91444,                 1.3372,                0.88536,                0.84599,                0.90246,                0.61362,                 1.1335,                0.76952,                 1.4093,              0.0003095,              0.0003095,              0.0003095
                     22,                0.75257,                0.53937,                 1.1431,                0.92665,                0.85739,                0.90276,                0.63318,                 1.1001,                 0.7505,                 1.3514,                0.00026,                0.00026,                0.00026
                     23,                0.71247,                0.50612,                 1.0505,                0.94578,                0.83732,                0.90069,                0.63235,                 1.1152,                0.73915,                 1.3549,              0.0002105,              0.0002105,              0.0002105
                     24,                0.70146,                0.49385,                 1.0835,                0.91531,                0.84814,                0.90811,                0.64603,                 1.1122,                0.70964,                 1.3399,               0.000161,               0.000161,               0.000161
                     25,                0.67487,                   0.52,                 1.0686,                0.94532,                0.83148,                 0.9158,                0.65467,                  1.105,                0.68533,                   1.34,              0.0001115,              0.0001115,              0.0001115
