                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5732,                 5.1204,                 1.6154,                0.43691,                0.27453,                0.24182,                0.13235,                 1.4939,                 2.6665,                 1.6091,             0.00021344,             0.00021344,             0.00021344
                      2,                 1.4698,                  2.112,                 1.5194,                 0.5554,                 0.3098,                0.32337,                 0.1761,                 1.5675,                 2.0242,                 1.6407,             0.00041638,             0.00041638,             0.00041638
                      3,                  1.472,                 1.7619,                 1.4957,                 0.6005,                0.32204,                0.37785,                0.19046,                 1.6569,                 1.8943,                 1.7056,             0.00060189,             0.00060189,             0.00060189
                      4,                  1.444,                 1.6936,                 1.4915,                0.56327,                0.34485,                0.35465,                0.18839,                 1.5993,                  1.904,                 1.6917,             0.00058776,             0.00058776,             0.00058776
                      5,                 1.4546,                 1.5305,                 1.4763,                0.46676,                0.36053,                0.37092,                0.20147,                 1.6218,                 1.7785,                 1.6879,             0.00058776,             0.00058776,             0.00058776
                      6,                 1.3633,                 1.3654,                  1.427,                0.58048,                0.38595,                0.43301,                0.24022,                 1.5507,                 1.5482,                 1.6645,             0.00056135,             0.00056135,             0.00056135
                      7,                 1.3767,                 1.3159,                 1.4223,                0.70246,                0.41181,                0.45139,                0.25651,                 1.5403,                 1.5249,                 1.6226,             0.00053493,             0.00053493,             0.00053493
                      8,                 1.4016,                 1.2835,                 1.4064,                0.76016,                0.40124,                0.50567,                0.27381,                 1.6247,                 1.5147,                 1.6908,             0.00050852,             0.00050852,             0.00050852
                      9,                 1.3975,                 1.2635,                 1.4248,                0.69635,                  0.392,                0.48464,                0.26381,                 1.5717,                 1.5018,                 1.6064,             0.00048211,             0.00048211,             0.00048211
                     10,                 1.3202,                  1.217,                 1.3982,                0.68271,                0.44062,                0.55291,                0.31229,                 1.5235,                 1.3837,                 1.5893,             0.00045569,             0.00045569,             0.00045569
                     11,                 1.3006,                 1.1209,                 1.3359,                 0.7263,                0.44686,                0.56153,                0.32179,                 1.4715,                 1.3493,                 1.5608,             0.00042928,             0.00042928,             0.00042928
                     12,                 1.2443,                 1.0593,                 1.3262,                0.70344,                0.46379,                0.57034,                 0.3203,                 1.4978,                 1.2846,                 1.5497,             0.00040287,             0.00040287,             0.00040287
                     13,                 1.2274,                 1.0208,                 1.3067,                 0.7233,                0.44294,                0.55833,                0.31848,                 1.4723,                 1.3001,                 1.5395,             0.00037645,             0.00037645,             0.00037645
                     14,                 1.2262,                0.99055,                  1.292,                0.75889,                0.49603,                0.59339,                0.32161,                 1.5166,                  1.265,                 1.5873,             0.00035004,             0.00035004,             0.00035004
                     15,                  1.217,                0.98134,                  1.296,                0.73098,                0.46516,                0.58326,                 0.3361,                 1.4976,                 1.2508,                 1.5732,             0.00032363,             0.00032363,             0.00032363
                     16,                 1.2615,                 1.1809,                 1.3511,                0.75704,                0.45006,                0.56543,                0.31903,                 1.5175,                 1.3238,                 1.5923,             0.00029722,             0.00029722,             0.00029722
                     17,                 1.2034,                0.97022,                 1.3213,                0.74294,                0.46961,                0.57922,                0.32886,                  1.487,                 1.2061,                 1.5452,              0.0002708,              0.0002708,              0.0002708
                     18,                 1.1816,                0.88325,                 1.2992,                0.61062,                  0.611,                0.59132,                0.33165,                 1.5135,                 1.1926,                 1.5761,             0.00024439,             0.00024439,             0.00024439
                     19,                 1.1553,                0.86007,                 1.2524,                0.61331,                0.57266,                0.58792,                0.33395,                 1.4784,                 1.1748,                 1.5655,             0.00021798,             0.00021798,             0.00021798
                     20,                 1.1304,                 0.8368,                 1.2488,                 0.5953,                0.58565,                0.57945,                0.33006,                 1.4859,                 1.1841,                 1.5652,             0.00019156,             0.00019156,             0.00019156
                     21,                 1.0997,                0.77259,                 1.2068,                0.68051,                0.58302,                0.60551,                 0.3444,                 1.4659,                 1.1854,                 1.5582,             0.00016515,             0.00016515,             0.00016515
                     22,                 1.0826,                 0.7671,                 1.2164,                 0.7083,                0.57011,                0.60493,                0.35105,                 1.4641,                 1.2053,                 1.5442,             0.00013874,             0.00013874,             0.00013874
                     23,                 1.0421,                0.71429,                 1.1788,                0.71135,                0.57377,                0.61742,                0.36569,                 1.4252,                 1.1484,                 1.5202,             0.00011232,             0.00011232,             0.00011232
                     24,                 1.0341,                0.70428,                 1.1872,                0.76416,                0.55671,                0.61702,                0.36094,                 1.4374,                 1.1658,                 1.5267,              8.591e-05,              8.591e-05,              8.591e-05
                     25,                0.99535,                 0.6948,                 1.1676,                0.74694,                0.56753,                0.62073,                0.36296,                 1.4396,                 1.1594,                 1.5348,             5.9496e-05,             5.9496e-05,             5.9496e-05
